name,games played,minutes,pts,reb,asts,turnover,fgm
BENNEEL01 ,21,159,48,10,22,20,16
BENNEMA01 ,68,606,269,182,24,33,111
BENNEME01 ,129,1532,498,426,107,65,152
BENNEME01 ,75,2193,904,526,97,176,329
BENNETO01 ,152,1886,538,155,303,93,221
BENNEWI01 ,136,2157,648,414,120,115,257
BENNEWI02 ,59,993,440,147,84,145,147
BENOIDA01 ,492,9314,3455,1984,287,424,1335
BENSOKE01 ,680,15719,6168,3881,1203,1069,2578
BERCEGE01 ,3,0,10,0,2,0,5
BERGEGA01 ,6,40,8,8,1,0,3
BERGHLA01 ,20,255,121,85,18,0,49
BERRYRI01 ,64,1406,706,197,80,82,255
BERRYWA01 ,205,4863,2882,971,292,404,1201
BESHODE01 ,69,870,244,63,139,104,88
BESTTR01  ,708,15149,5376,1249,2444,928,2002
BIALOWE01 ,70,1224,608,89,57,62,238
BIANCAL01 ,687,13649,5550,1722,1497,0,2212
BIASAHA01 ,6,0,6,0,0,0,2
BIBBYHE01 ,675,15475,5775,1581,2259,573,2149
BIBBYMI01 ,801,28919,13177,2665,4862,1923,4859
BIEDEED01 ,7,18,4,2,3,0,0
BIEDRAN01 ,318,7697,2681,2598,320,360,1159
BIELKDO01 ,7,38,14,9,1,0,5
BIGELBO01 ,94,762,234,111,42,18,91
BILLILI01 ,46,1022,393,280,49,122,150
BILLUCH01 ,837,26882,12614,2464,4669,1695,3838
BINGDA01  ,901,32769,18327,3420,5397,216,6962
BINIOJO01 ,11,51,14,18,1,3,4
BIRDJE01  ,11,45,25,12,4,0,12
BIRDLA01  ,897,34443,21791,8974,5695,2816,8591
BIRDSOT01 ,696,21627,12544,2072,2260,1491,5347
BISHOGA01 ,56,0,467,0,92,0,170
BLABUW01  ,235,1966,505,413,102,141,185
BLACKAL01 ,27,109,34,23,7,5,14
BLACKCH01 ,136,117,1245,31,312,0,435
BLACKCO01 ,60,551,202,96,26,44,87
BLACKJA01 ,13,80,18,11,11,5,8
BLACKNA01 ,10,112,37,6,18,8,15
BLACKNO01 ,3,28,8,2,2,1,3
BLACKRO01 ,980,32087,17623,3278,2981,1829,6887
BLACKTO01 ,71,873,299,259,44,0,121
BLAKEST01 ,419,10659,3172,871,1753,600,1171
BlaloWi01 ,14,166,25,15,17,12,9
BLANEGE01 ,36,363,117,36,45,0,54
BLANKLA01 ,142,1045,289,110,117,63,116
BLANTRI01 ,2,13,6,3,1,1,3
BLATCAN01 ,238,4237,1602,1032,259,290,663
BLAYLMO01 ,889,31026,11962,3659,5972,2067,4705
BLEVILE01 ,3,0,2,2,1,0,1
BLOCKJO01 ,597,14316,7106,3965,805,0,2592
BLOOMMI01 ,93,0,634,0,70,0,209
BLOUNCO01 ,644,9925,2287,2690,460,519,959
BLOUNMA01 ,605,13987,4941,2784,513,933,2020
BLUMERA01 ,49,546,226,41,68,54,102
BOBBITO01 ,2,12,5,3,0,0,2
BOBBNE01  ,227,2468,1052,405,488,0,361
BOCKHAR01 ,474,14791,5430,2234,1645,0,2245
BOERWTO01 ,635,14387,4596,5745,2007,26,1863
BOGANKE01 ,425,9957,3207,1359,588,427,1119
BOGUEMU01 ,889,25424,6858,2318,6726,1433,2845
BOGUTAN01 ,262,8451,3118,2288,661,533,1319
BOHANET01 ,26,152,37,44,6,14,9
BOLGEBI01 ,20,202,56,36,11,0,24
BOLMA01   ,624,11698,1599,2647,171,451,665
BOLSTDO01 ,3,21,4,0,0,0,2
BONDPH01  ,7,21,4,4,2,2,2
BONDWA01  ,153,2427,873,289,177,146,329
BONEYDE01 ,8,48,19,6,0,1,6
BONHARO01 ,42,426,245,57,14,32,80
BONHARO01 ,76,681,478,113,30,0,167
BONNEAN01 ,318,7372,2199,1726,442,450,881
BONNEMA01 ,364,6705,2440,1303,240,173,949
BONSAGE01 ,3,9,4,2,0,0,2
BOOKEBU01 ,12,221,70,91,6,0,30
BOOKEME01 ,32,561,166,38,74,39,62
BooneJo01 ,193,3441,1087,948,96,132,450
BOONERO01 ,379,10795,5284,1046,1273,758,2134
BOONERO01 ,662,21596,12153,3302,2569,1773,4695
BOOTHCA01 ,366,4479,1190,1010,151,180,472
BOOTHKE01 ,45,449,130,97,39,42,51
BOOZEBO01 ,874,25549,12964,7119,1237,0,4961
BOOZECA01 ,432,14025,7274,4302,1019,926,2989
BORCHCU01 ,83,1117,258,278,64,70,96
BORNHJA01 ,75,0,342,0,53,0,122
BORRELA01 ,17,167,62,40,10,6,28
BORSACO01 ,24,0,64,24,4,0,26
BORYLVI01 ,285,5162,3187,831,610,0,1187
BOSHCH01  ,439,16293,8597,4017,949,957,3014
