,college,count
866,Huntington (IN),1
869,Upper Iowa,1
870,Missouri-Rolla,1
873,Chattanooga,1
875,Maynard Evans (FL) HS,1
876,Dwight Morrow (NJ) HS,1
879,Bishop (TX),1
882,Winona State,1
884,Willamette,1
885,Barber Scotia,1
886,Morningside,1
887,Soviet Union,1
888,McAlister,1
890,Virginia Polytechnic,1
892,UC-Santa Barbara,1
893,Marymount,1
894,Biscayne,1
895,East Illinois,1
896,Malone,1
865,Roanoke,1
861,Indiana (PA),1
827,Eastern Kentucky State,1
858,British Columbia,1
829,PMC Colleges,1
830,South Alabama State,1
832,Cheyney,1
834,Morehouse,1
836,West Liberty State,1
837,Benedictine,1
838,Paine College,1
839,U. of Missouri (St. Louis),1
840,U. of North Carolina,1
841,Loyola (Md.),1
842,Nicholas State,1
843,Hopkins,1
844,W. Montana,1
845,Bethel (TN),1
848,Northwood Michigan,1
851,Bridgewater State,1
852,Elmhurst,1
853,Bay College,1
857,Bethune Cookman,1
761,Westmar,1
759,Houston Tillotson,1
587,West Liberty,1
632,Cooper Union,1
637,Georgia State Teachers,1
638,New Bedford State,1
644,St. Michael's,1
646,Dakota Wesleyan,1
647,Macalaster,1
648,Northwestern State,1
652,Coe,1
655,Davis & Elkins,1
656,Superior State,1
657,Hope,1
658,St. Cloud State,1
661,Southwest Texas,1
662,Christian Brothers,1
664,Mississippis Southern,1
670,Aberdeen,1
672,Wabash,1
673,Wisconsin State Teachers,1
674,Hancock,1
680,University of Minnesota Duluth,1
636,Murray State Teachers,1
630,Marietta,1
758,Stout State,1
629,Alderson-Broaddus,1
591,Union (TN),1
594,Lousiville,1
597,Clarion State,1
601,River Falls State,1
603,Nick McGuire,1
607,St. Anselm's,1
608,St. Benedict,1
610,Washington (MO),1
614,Lycoming,1
615,Brooklyn Polytechnic,1
616,Taylor,1
618,???,1
619,McNeese,1
620,North Central (IL),1
622,Western Reserve,1
624,Mississippi College,1
625,St. Ambrose,1
626,Northeast Missouri State,1
628,Adelphi,1
681,Pratt,1
683,Williams,1
684,California Tech,1
725,Lowell Tech,1
730,Colgate College,1
731,New Mexico Highlands,1
732,Erskine,1
733,Minnesota-Morris,1
734,South Carolina A&T,1
736,Momingside,1
739,Kentucky Weslyan,1
741,Chaney State,1
742,Dickinson State,1
743,Hillsdale,1
744,Pasadena College,1
748,Rochester Institute,1
750,Lane,1
751,Oshkosh State,1
752,Western Louisiana,1
754,Hillside,1
755,Cal State,1
756,SE Louisiana,1
757,Central Washington State,1
729,California Western,1
724,Lincoln (MO),1
686,SW Kansas,1
723,Otterbeing,1
691,State College of Iowa,1
693,North Carolina A&M,1
694,Chapman,1
699,George Williams,1
704,Long Beach College,1
705,Central State,1
706,Alliance,1
709,Hiram,1
710,Fenn,1
712,Benedict,1
713,Fairchild,1
714,Idaho College,1
716,Rochester,1
717,Wilberforce,1
718,Pan America,1
719,Omaha,1
720,Nevade Southern,1
721,Jackson State Teachers,1
1266,Assignia Manresa (Spain),1
512,,0
