,college,count
1096,Croatia,5
612,East Carolina,5
667,East Tennessee,5
451,Mount St. Mary's,5
557,Loyola (MD),5
695,Clark,5
294,Youngstown,5
445,Virginia State,5
278,Philadelphia Textile,5
147,Rocky Mountain,5
467,Oklahoma Christian,5
956,Wisconsin-Eau Claire,5
276,Boston University,5
55,Valdosta State,5
582,SW Missouri,5
678,Elizabeth City,5
151,Pasadena,5
304,Georgetown (KY),5
465,South Dakota,5
306,Tuskegee,5
565,West Virginia State,5
290,Central State (OH),5
234,East Tennessee State,4
1102,France,4
527,Newberry,4
367,Brown,4
862,Western Georgia,4
130,Beloit,4
800,Linfield,4
379,Sacred Heart,4
1112,Yugoslavia,4
431,Ferris State,4
954,North Park,4
944,Chicago State,4
835,Ball State,4
1135,Serbia,4
936,Wisconsin-Green Bay,4
1129,Spain,4
934,Appalachian State,4
476,Buffalo,4
136,Rider,4
929,Briarcliff,4
190,Wichita,4
497,Morgan State,4
499,Kearney State,4
501,Bentley,4
358,Eau Claire State,4
1230,Fenerbah?e ?lker (Turkey),4
753,Lincoln,4
687,Westminster,4
660,West Virginia Wesleyan,4
100,Ohio University,4
666,Wittenberg,4
642,Wayne State,4
639,North Carolina Central,4
676,Monmouth,4
747,Albany State,4
331,Gannon,4
34,American International,4
316,Santa Barbara,4
685,Florida A&M,4
110,Elizabeth City (NC),4
585,Washington & Lee,4
285,Howard Payne,4
1142,BYU,4
1185,Real Madrid (Spain),4
593,Whitworth,4
284,Wiley,4
87,Hiram Scott,4
252,Hanover,4
353,St. Augustine,4
988,Arkansas-Little Rock,4
715,Army,3
1045,None (Yugoslavia),3
669,Pikeville,3
430,Xavier (LA),3
470,Atlanta,3
659,Tennessee A&I,3
726,San Francisco State,3
1036,Mississippi Valley State,3
809,Assumption,3
701,Arkansas A&M,3
206,New York Tech,3
208,St. Peter's (NJ),3
433,Eau Claire,3
209,Trinity (TX),3
447,Augustana,3
689,SE Missouri State,3
700,Virginia Military,3
572,St. Thomas,3
1117,Michigan St.,3
963,Texas-Arlington,3
786,Henderson State,3
581,Lawrence,3
555,John Carroll,3
543,St. Francis,3
586,Baldwin-Wallace,3
992,Victoria (Canada),3
975,Wright State,3
599,Fairleigh Dickinson,3
602,Regis,3
162,Northern Iowa,3
520,St. Mary's,3
785,Wagner,3
621,Midwestern (TX),3
735,Midwestern,3
164,Detroit Tech,3
1003,Illinois-Chicago,3
1059,Russia,3
1004,Texas-San Antonio,3
640,SE Oklahoma,3
195,Nevada Southern,3
571,Central Missouri State,3
643,Lenoir Rhyne,3
737,Edinboro State,3
486,Fairmont State,3
645,North Dakota State,3
283,Arkansas Tech,3
793,None (Italy),3
260,Miami,3
317,Tampa,3
303,Adams State,3
1159,CSKA Moscow (Russia),3
273,Rio Grande,3
1204,Union Olimpija (Slovenia),3
874,SW Texas State,3
377,Oglethorpe,3
911,Alabama-Huntsville,3
398,West Texas,3
868,Cameron,3
262,Mt. St. Mary's,3
880,Armstrong State,3
340,Baltimore,3
394,Ouachita Baptist,3
326,Middle Tennessee State,3
1172,NC State,3
328,Steubenville,3
251,Eastern New Mexico,3
872,Towson State,3
946,Chaminade,3
828,LeMoyne-Owen,3
286,Drury,3
25,Tennessee Wesleyan,3
289,Springfield,3
243,Elon,3
859,Maryland-Eastern Shore,3
569,Millikin,2
1092,Germany,2
994,Lewis (IL),2
341,Cal State (PA),2
600,Cornell (IA),2
1093,Turkey,2
604,Wofford,2
339,Miles,2
253,Missouri-St. Louis,2
148,Southwest Missouri State,2
560,River Falls Teachers,2
1074,PAOK Greece,2
363,Belhaven,2
116,High Point (NC),2
611,Franklin & Marshall,2
550,Loyola,2
878,Coppin State,2
613,Concordia (MO),2
1070,Lithuania,2
982,Campbell,2
596,Spring Hill,2
360,Ripon,2
349,Assumption (MA),2
573,Ohio Wesleyan,2
986,District of Columbia,2
918,Delta State,2
1085,College of Charleston,2
989,New Hampshire,2
75,St. Peters (NJ),2
580,Springfield (MA),2
871,Potsdam State,2
129,Southern University,2
993,Panhandle State,2
1069,Iowa St.,2
1081,Australia,2
590,Huron,2
125,Northeast Oklahoma,2
342,Scranton,2
595,SW Texas,2
563,NW Missouri,2
951,Robert Morris,2
617,Hastings,2
223,Norfolk State (VA),2
333,UNLV,2
749,Presbyterian,2
671,Doane,2
675,Brockport,2
677,Citadel,2
302,David Lipscomb,2
679,Carson-Newman,2
722,Santa Fe,2
682,Lewis,2
1018,Liberty Baptist,2
301,Lamar Tech,2
891,Wisconsin-Parkside,2
1019,George Fox,2
688,Lakeland,2
690,Baldwin Wallace,2
1034,Hartford,2
692,Lewis & Clark,2
1020,Wisconsin-Stevens Point,2
696,St. Mary of the Plains,2
697,Randolph-Macon,2
698,Morris Brown,2
292,Paul Quinn,2
703,St. Michael's (VT),2
1023,None (Soviet Union),2
897,Millersville,2
274,Southwestern Louisiana,2
889,St. Mary's (Canada),2
668,Belmont Abbey,2
738,NE Oklahoma,2
332,William Carey,2
1193,Benetton Treviso (Italy),2
623,Southwest Texas State,2
627,College of Pacific,2
745,Southern Colorado,2
979,Western Oregon,2
1195,Angelico Biella (Italy),2
261,Louisiana College,2
111,Southern Colorado State,2
740,Voorhees,2
641,Western Illinois,2
28,Dickinson,2
883,Drury (MO),2
912,Georgia State,2
651,Villa Madonna,2
654,Pacific Lutheran,2
728,New Haven,2
1047,Argentina,2
910,Illinois Wesleyan,2
265,St. Joseph's (IN),2
1046,Marist,2
105,Northeast Louisiana,2
549,NW Oklahoma,2
568,Colorado A&M,2
922,Wisconsin-Milwaukee,2
811,Trenton State,2
1239,Maccabi Tel Aviv (Israel),2
39,Northwood Institute,2
957,Alaska-Anchorage,2
1113,Indian Hills CC,2
1240,Cholet (France),2
791,Bellarmine,2
926,Youngstown State,2
831,Portland State,2
814,Quinnipiac,2
953,Indiana State-Evansville,2
509,Vermont,2
462,Western Montana,2
854,C.W. Post,2
1140,Poland,2
513,Rhode Island State,2
163,Albuquerque,2
855,St. Mary's (MD),2
1233,Red Star Belgrade (Serbia),2
385,Belmont,2
204,Central Connecticut,2
211,Rockhurst (MO),2
846,Stonehill,2
1235,DKV Joventut (Spain),2
798,Buffalo State,2
847,Westmont,2
797,Aurora,2
1097,UNC-Charlotte,2
391,Dallas,2
966,Bucknell,2
390,Carolina,2
456,Fayetteville,2
1157,St. Joe's,2
199,Valdosta,2
940,Augustana (SD),2
849,Missouri Southern,2
833,Brockport State,2
495,Missouri Western,2
711,Augsburg,2
386,St. Benedict's,2
481,Cleveland,2
784,Michigan Lutheran,2
475,Phoenix,2
860,West Georgia,2
437,Lebanon Valley,2
779,Air Force,2
154,California State-Los Angeles,2
535,NE Missouri State,2
432,VPI,2
948,Jersey City State,2
538,Trinity,2
977,Upsala,2
531,Loras,2
153,Cal Poly-San Luis Obispo,2
74,St. Thomas (MN),2
401,(Houston) Floridians,2
863,Azusa Pacific,2
978,George Mason,2
1229,UAB,2
545,Colby,2
974,Fort Hays State,2
1237,VCU,2
530,Texas Wesleyan,2
436,Los Angeles State,2
519,DePauw,2
856,Samford,2
808,Phillips,2
1105,China,2
522,Bates,2
925,Bloomfield (NJ),2
529,Moravian,2
1124,Brazil,2
525,Occidental,2
1141,Mississippi St,2
372,Valley City,2
924,Bethany Nazarene,2
434,Hutchinson JC,2
958,Lethbridge (Canada),1
938,Biola (LA),1
960,USC College,1
937,Widener,1
1257,Kentuckyc,1
909,North Carolina St.,1
959,North Alabama,1
1014,California-San Diego,1
939,Nicholls State,1
943,Louisiana,1
1015,Pembroke State,1
904,Concord,1
950,Hamilton,1
1024,None (West Germany),1
949,Harding (AR),1
902,Mississippi Valley,1
1265,Gold Coast Blaze (Australia),1
947,Maryland-Baltimore County,1
1022,Madrid (Spain),1
1021,Bridgeport,1
1016,NE Illinois,1
952,Point Park,1
955,Albright,1
906,Mankato State,1
961,Wilmington (OH),1
942,Cypress JC,1
1017,NW Missouri State,1
941,Cal State-Dominguez Hills,1
935,Pace,1
1002,Calgary (Canada),1
1013,Angelo State,1
968,William Paterson,1
969,None (Japan),1
995,Cal State-Davis,1
970,Thomas More (KY),1
971,Simon Fraser (Canada),1
915,Milligan,1
916,East Washington State,1
972,Lambuth (TN),1
991,St. Augustine's,1
917,Rutgers-Camden,1
990,Alabama A&M,1
973,Northern State College,1
1258,Lietuvos Rytas (Lithuania),1
987,None (Sudan),1
919,Graceland,1
1263,Bakersfield Jam (D-League),1
985,McMurray,1
976,S. Carolina-Spartanburg,1
984,York (Canada),1
983,Wisconsin-Stout,1
981,Marion,1
920,Johnson C. Smith,1
921,Nebraska-Omaha,1
